Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Gain,TotalDelta,Profit
08/10/16,0.009,0.03,0.170,0.021,False,False,False,True,2.7853919926272232288538246093,2.7666622563367047343826645586,-0.0288911413723400033329784226,1.4108855057522092300522608872,-0.2887719680242604412070420919,1.1221135377279487888452187953
09/01/16,0.006,0.07,0.189,0.003,False,True,True,False,2.7634350739604682970080670295,2.7426751874575972700173992741,-0.0216134445403660409515772089,1.3889285870854542982065033074,-0.3103854125646264821586193008,1.0785431745208278160478840066
09/02/16,0.009,0.03,0.170,0.021,False,False,False,True,2.7365805686852328329130777768,2.7247434106178276907057136191,-0.0736913013366064569735827423,1.3620740818102188341115140547,-0.3840767139012329391322020431,0.9779973679089858949793120116
09/26/16,0.006,0.07,0.189,0.003,False,True,True,False,2.7094173935636941978456625798,2.7021450552434206168310571579,-0.0060231740236059911178945979,1.3349109066886801990440988577,-0.3900998879248389302500966410,0.9448110187638412687940022167
11/10/16,0.006,0.23,0.172,0.004,False,True,False,True,3.2698894476619264545348731637,3.1949549428557015621057141954,-0.0752383048902727520107265702,1.8953829607869124557333094416,-0.4653381928151116822608232112,1.4300447679718007734724862304
11/16/16,0.006,0.07,0.189,0.003,False,True,True,False,3.1811538815940638725333622430,3.1647965058100308017982626226,-0.0150449831459962609191487002,1.8066473947190498737317985209,-0.4803831759611079431799719114,1.3262642187579419305518266095
11/17/16,0.002,0.10,0.176,0.005,False,True,True,True,3.1825192784836856972282156273,3.1749529615770339338703972013,-0.0016380368457689627489904199,1.8080127916086716984266519052,-0.4820212128068769059289623313,1.3259915788017947924976895739
11/22/16,0.009,0.07,0.195,0.004,False,True,True,False,3.2235788607222440038827270620,3.1288077729378669915934198530,-0.0934312723799253547712084119,1.8490723738472300050811633399,-0.5754524851868022607001707432,1.2736198886604277443809925967
12/06/16,0.005,0.14,0.193,0.004,False,False,False,False,3.1699464428228041667812556176,3.0473320349223455782859774429,-0.1274582828239826531460592668,1.7954399559477901679796918955,-0.7029107680107849138462300100,1.0925291879370052541334618855
12/28/16,0.006,0.17,0.197,0.014,False,False,False,True,3.2379634480252889418460888280,3.1720861907756016816566118045,-0.0605840632830642278452614217,1.8634569611502749430445251059,-0.7634948312938491416914914317,1.0999621298564258013530336742
01/03/17,0.006,0.17,0.197,0.014,False,False,False,True,3.2685684302316946357962667640,3.2685684302316946357962667640,0.0000000000000000000000000000,1.8940619433566806369947030419,-0.7634948312938491416914914317,1.1305671120628314953032116102
01/06/17,0.005,0.23,0.187,0.004,False,True,False,False,3.2448777600753120267692649915,3.2441318940513862134949619004,-0.0648802635215997940796668733,1.8703712732002980279677012694,-0.8283750948154489357711583050,1.0419961783848490921965429644
02/20/17,0.012,0.02,0.157,0.009,False,True,False,True,3.5385989834216303555065554741,3.4085913725283262280092467758,-0.1508705753532827741180663375,2.1640924965466163567049917520,-0.9792456701687317098892246425,1.1848468263778846468157671095
03/29/17,0.014,0.02,0.159,0.011,False,True,False,True,3.5628415580604344580863738598,3.5307133092881412852650042653,-0.0344501051357467310603912625,2.1883350711854204592848101377,-1.0136957753044784409496159050,1.1746392958809420183351942327
03/31/17,0.012,0.02,0.149,0.004,False,False,False,False,3.5263101234122761148182390125,3.4688668702873346428909497542,-0.0595091483933638557405954088,2.1518036365372621160166752904,-1.0732049236978422966902113138,1.0785987128394198193264639766
04/20/17,0.015,0.02,0.159,0.019,False,False,False,True,3.6110371070190488401181248657,3.5932924784369815668939435314,-0.0388188010563021499551579093,2.2365306201440348413165611436,-1.1120237247541444466453692231,1.1245068953898903946711919205
05/11/17,0.012,0.02,0.157,0.009,False,True,False,True,3.5885297339910167182806665546,3.5475139441492672182946866424,-0.0405645403595028384704352903,2.2140232471160027194791028325,-1.1525882651136472851158045134,1.0614349820023554343632983191
06/13/17,0.015,0.02,0.159,0.019,False,False,False,True,3.5490307126618349199342183666,3.5353336251902508139128483465,-0.0145459488845192026272034057,2.1745242257868209211326546445,-1.1671342139981664877430079191,1.0073900117886544333896467254
06/14/17,0.012,0.02,0.157,0.009,False,True,False,True,3.5035110995929811893394695069,3.4882627660842055376303786337,-0.0097322066306454346807102388,2.1290046127179671905379057848,-1.1768664206288119224237181579,0.9521381920891552681141876269
08/07/17,0.005,0.14,0.193,0.004,False,False,False,False,3.7503645512511269148929222203,3.7448569198403339734223100008,-0.0056369614105784476524810047,2.3758580643761129160913584982,-1.1825033820393903700761991626,1.1933546823367225460151593356
08/21/17,0.015,0.03,0.157,0.019,False,False,False,True,3.8781307394942565540396157372,3.7898278054037599888817950931,-0.0922892315022027678359322908,2.5036242526192425552380520151,-1.2747926135415931379121314534,1.2288316390776494173259205617
08/22/17,0.012,0.02,0.157,0.009,False,True,False,True,3.8509968922628715383500937343,3.8494740959174303575660640999,-0.0035027795544950704661915679,2.4764904053878575395485300122,-1.2782953930960882083783230213,1.1981950122917693311702069909
08/28/17,0.005,0.23,0.187,0.004,False,True,False,False,3.8992509819200622542162885803,3.8928507520199365054776326917,-0.0223742079965227647695537247,2.5247444950450482554147248582,-1.3006696010926109731478767460,1.2240748939524372822668481122
09/06/17,0.012,0.02,0.157,0.009,False,True,False,True,3.8632129304188621343109158334,3.8009140332577339823435481609,-0.0602896997641650283231160456,2.4887064435438481355093521113,-1.3609593008567760014709927916,1.1277471426870721340383593197
09/12/17,0.005,0.23,0.187,0.004,False,True,False,False,3.8547824352823182195091302289,3.8249773621894483525131460491,-0.0299650730928698669959841798,2.4802759484073042207075665068,-1.3909243739496458684669769714,1.0893515744576583522405895354
09/15/17,0.015,0.03,0.157,0.019,False,False,False,True,3.8379250562605236093853869121,3.7568070195194838015770984140,-0.1196806035144251677902919325,2.4634185693855096105838231900,-1.5106049774640710362572689039,0.9528135919214385743265542861
12/08/17,0.018,0.03,0.164,0.011,False,True,True,True,4.1311584019274532796059429807,4.1235236830373222637704246509,-0.0027701273614623161058907101,2.7566519150524392808043792586,-1.5133751048255333523631596140,1.2432768102269059284412196446
01/02/18,0.018,0.03,0.164,0.011,False,True,True,True,4.1056726588035572412511612497,4.1056726588035572412511612497,0.0000000000000000000000000000,2.7311661719285432424495975276,-1.5133751048255333523631596140,1.2177910671030098900864379136
01/16/18,0.015,0.17,0.139,0.025,False,True,False,False,4.0793874488602848103015280664,4.0779159088666407638350623347,-0.0150925089588564088311301060,2.7048809619852708114999643443,-1.5284676137843897611942897200,1.1764133482008810503056746243
02/22/18,0.018,0.03,0.164,0.011,False,True,True,True,4.0435035396520789841338656890,3.9804838399064246001599108896,-0.1073094393527809257738634335,2.6689970527770649853323019669,-1.6357770531371706869681531535,1.0332199996398942983641488134
03/16/18,0.015,0.03,0.159,0.011,False,True,False,True,4.1045103080475244824615357794,4.0188804240741895368976847845,-0.1253569500730643618761818801,2.7300038211725104836599720573,-1.7611340032102350488443350336,0.9688698179622754348156370237
04/20/18,0.015,0.03,0.157,0.019,False,False,False,True,4.2262141271622435533344085068,4.1676684004519673591994073504,-0.1679045887606227742014716946,2.8517076402872295545328447847,-1.9290385919708578230458067282,0.9226690483163717314870380565
05/29/18,0.009,0.17,0.198,0.007,False,False,False,False,4.2695569737466029678302920724,4.2378154451936556900520366613,-0.0371182033049060228523189017,2.8950504868715889690287283503,-1.9661567952757638458981256299,0.9288936915958251231306027204
07/27/18,0.007,0.17,0.197,0.004,False,False,False,False,4.2535497811933219269702940356,4.2311133555501917133250831811,-0.0137302105618000505657117694,2.8790432943183079281687303135,-1.9798870058375638964638373993,0.8991562884807440317048929142
08/19/18,0.007,0.17,0.197,0.004,False,False,False,False,4.4728048760633148995634071768,4.4728048760633148995634071768,0,3.0982983891883009007618434547,-1.9798870058375638964638373993,1.1184113833507370042980060554
